,Precio,Metros Cuadrados,Habitaciones,Baños,Parqueadero,Estrato,Localidad,Barrio,Contacto,Robo_Personas,Homicidios
68,2760000000,460,5.0,5,,6, Chapinero,Chicó Alto,0,5578,6
69,1000000000,138,2.0,2,,6, Chapinero,El Chicó,3158574462,5578,6
70,850000000,141,3.0,4,,6, Usaquén,Bosque De Pinos III,0,5376,29
71,285500000,51,2.0,2,,5, Suba,Pasadena,0,7567,43
72,440500000,99,3.0,3,,5, Suba,Canódromo,0,7567,43
73,450000000,71,2.0,2,,4, Suba,Pasadena,3004296595,7567,43
74,320000000,85,3.0,2,,4, Suba,El Rincón De Las Villas,0,7567,43
75,435000000,77,2.0,3,,5, Suba,Puente Largo Sector I Y II,3004296595,7567,43
76,248500000,67,3.0,2,,3, Suba,Urbanización Arcos De Cantalejo,3004296595,7567,43
77,347500000,76,3.0,2,,4, Suba,Mazuren,0,7567,43
78,347000000,77,2.0,2,,4, Suba,La Victoria Norte,0,7567,43
79,1700000000,500,1.0,0,,4, Usaquén,Molinos Norte,0,5376,29
80,3500000000,330,4.0,5,,6, Usaquén,Usaquén - Casa Cristo Rey,0,5376,29
81,370000000,80,3.0,2,,4, Usaquén,La Liberia,3185324068,5376,29
82,550000000,84,2.0,2,,6, Usaquén,Santa Bárbara Central II Sector,0,5376,29
83,800000000,104,3.0,2,,6, Chapinero,Bosque El Retiro I Sector,0,5578,6
84,640000000,124,3.0,3,,4, Usaquén,Parques De Lorena,0,5376,29
86,160000000,84,4.0,2,Si,2, Suba,Riviera Norte,0,7567,43
87,390000000,49,1.0,1,Si,5, Barrios Unidos,La Castellana - Villa Calazans,0,2975,10
88,1200000000,165,3.0,4,,5, Usaquén,La Calleja,0,5376,29
89,629000000,132,3.0,3,,5, Usaquén,Pinar De La Calleja,0,5376,29
90,3972000000,327,4.0,5,,6, Usaquén,Usaquén - Casa Cristo Rey,0,5376,29
91,990000000,130,3.0,4,,4, Suba,El Pinar,3165279629,7567,43
92,395000000,63,1.0,2,Si,6, Usaquén,San Patricio,0,5376,29
93,550000000,152,4.0,3,Si,4, Usaquén,Cabañas Del Norte,0,5376,29
94,1350000000,157,3.0,4,,6, Usaquén,La Carolina,0,5376,29
95,399565000,50,1.0,2,,4, Usaquén,Cedro Golf Club,0,5376,29
97,320000000,78,3.0,2,Si,4, Suba,El Edén,3108509966,7567,43
98,220000000,60,3.0,2,Si,3, Suba,Niza Norte - Ocales De Niza,3196056676,7567,43
99,315000000,59,1.0,1,Si,5, Chapinero,Porciúncula,0,5578,6
100,1300000000,400,5.0,4,,4, Barrios Unidos,La Patria - Barrio San Martín,3214107749,2975,10
101,940000000,104,2.0,3,,6, Chapinero,Chicó Norte III Sector,3214107749,5578,6
102,270000000,47,1.0,1,,4, Usaquén,Los Cedros,0,5376,29
103,900000000,1000,4.0,3,Si,4, Suba,Urbanización Floresta III (sauces II),0,7567,43
104,1250000000,160,3.0,3,,5, Chapinero,Chicó Reservado II Sector,0,5578,6
105,1230000000,177,3.0,4,,6, Chapinero,Bosque El Retiro I Sector,3165279629,5578,6
106,970000000,110,3.0,3,,5, Chapinero,El Chicó,0,5578,6
107,980000000,180,3.0,3,,6, Usaquén,Santa Bárbara Occidental,0,5376,29
108,410000000,66,2.0,2,,6, Usaquén,Santa Bárbara Central I Y II,3138168705,5376,29
109,320000000,54,1.0,2,,5, Suba,Pasadena,0,7567,43
110,375000000,83,3.0,2,,4, Usaquén,Urbanización La Pradera,3138168705,5376,29
111,640000000,79,2.0,2,,4, Usaquén,Los Cedros Oriental,0,5376,29
112,920000000,221,3.0,2,,6, Usaquén,Rincón Del Chicó,3165279629,5376,29
113,380000000,79,3.0,3,,5, Usaquén,Ginebra Norte,0,5376,29
114,730195000,91,3.0,2,,4, Usaquén,Cedro Golf Club,0,5376,29
115,700000000,120,3.0,3,,5, Suba,El Batán,0,7567,43
116,440000000,74,2.0,2,,6, Usaquén,Rincón Del Chicó,0,5376,29
117,480000000,70,2.0,2,,6, Usaquén,Santa Bibiana,0,5376,29
118,710000000,136,3.0,3,,6, Chapinero,Chicó Norte,0,5578,6
119,370000000,72,2.0,3,,4, Suba,Prado Veraniego Sur - Córdoba Niza IX,0,7567,43
120,930000000,214,3.0,3,,5, Suba,El Batán,0,7567,43
121,2100000000,246,3.0,3,,6, Chapinero,Bellavista,0,5578,6
122,463500000,66,1.0,2,,6, Usaquén,Santa Bárbara Central I Sector,0,5376,29
123,440000000,96,4.0,3,,4, Usaquén,Los Cedros Oriental,0,5376,29
124,372000000,81,3.0,2,,4, Usaquén,Los Cedros,0,5376,29
125,423000000,104,3.0,2,,5, Usaquén,Los Cedros Oriental,0,5376,29
126,405000000,79,3.0,2,,4, Usaquén,Santa Teresa,0,5376,29
127,1018671944,103,3.0,3,,6, Suba,Urbanización Alhambra Sur Oriental,0,7567,43
128,568000000,84,1.0,1,,5, Chapinero,Chicó Norte - Urbanización La Gran Vía,0,5578,6
129,446000000,118,3.0,3,,5, Usaquén,El Contador,0,5376,29
130,405000000,93,3.0,3,,4, Usaquén,Parques De Lorena,0,5376,29
131,480000000,87,3.0,2,,5, Suba,Canódromo - Urbanización Atabanza,0,7567,43
132,520000000,90,2.0,2,,6, Chapinero,Chicó Reservado,0,5578,6
133,870000000,123,3.0,4,,6, Usaquén,Santa Bárbara Central I Y II,3142007942,5376,29
134,2200000000,255,3.0,3,,6, Chapinero,Conjunto Hotelero Los Rosales,3142007942,5578,6
135,820000000,104,2.0,3,,6, Chapinero,El Chicó,0,5578,6
136,3800000000,417,3.0,4,,6, Chapinero,Chicó Oriental,3142007942,5578,6
137,630000000,91,3.0,3,,5, Suba,San José Del Prado - Urbanización Echeverría,0,7567,43
138,500000000,74,2.0,2,,6, Chapinero,Chicó Norte III Sector,0,5578,6
139,1195000000,159,3.0,3,,6, Chapinero,La Cabrera,0,5578,6
140,390000000,54,2.0,2,,4, Usaquén,Cedro Narváez,0,5376,29
141,2350000000,302,4.0,4,,6, Chapinero,Conjunto Hotelero Los Rosales,0,5578,6
142,580000000,83,2.0,2,,6, Usaquén,Santa Bárbara Central I Y II,0,5376,29
143,513787000,65,1.0,2,,4, Usaquén,Cedro Golf Club,3007599298,5376,29
144,800000000,129,2.0,3,,6, Usaquén,Santa Bárbara Central III Sector,3165279629,5376,29
145,650000000,170,3.0,3,,5, Suba,El Pinar,3054643322,7567,43
146,1500000000,269,10.0,5,,4, Barrios Unidos,Polo Club,3143972117,2975,10
147,7250000000,1,10.0,0,,4, Usaquén,Cedritos,3143972117,5376,29
148,597000000,106,3.0,3,,5, Suba,Lagos De Córdoba,0,7567,43
149,1500000000,270,3.0,4,,6, Chapinero,Chicó Oriental,0,5578,6
150,2350000000,350,5.0,4,,6, Chapinero,Chicó Reservado,0,5578,6
151,400000000,100,3.0,2,,4, Usaquén,Acacias Usaquén,0,5376,29
152,390000000,87,3.0,3,,5, Suba,Urbanización Alhambra Sur Oriental,0,7567,43
153,270000000,68,4.0,2,Si,4, Suba,La Victoria Norte,3015823989,7567,43
154,460000000,126,3.0,3,Si,4, Usaquén,Cedritos,0,5376,29
155,1349000000,212,3.0,4,,5, Usaquén,Plenitud La Calleja,0,5376,29
157,335740000,56,2.0,2,,4, Barrios Unidos,Urbanización Mendiguaca,0,2975,10
158,1250000000,365,5.0,5,,5, Suba,Cerros De Niza,0,7567,43
159,350000000,80,2.0,2,,5, Usaquén,Santa Ana Oriental,0,5376,29
160,297000000,54,1.0,1,Si,6, Usaquén,Rincón Del Chicó,0,5376,29
161,420000000,85,3.0,2,Si,4, Suba,Mazuren,0,7567,43
162,630000000,115,3.0,3,Si,3, Suba,Colina Campestre IV Sector,3142653325,7567,43
163,619797000,102,3.0,3,,4, Suba,Prado Veraniego Norte,3007599298,7567,43
164,330000000,66,3.0,3,Si,4, Usaquén,Caobos Salazar,0,5376,29
165,550000000,135,3.0,3,Si,5, Suba,Don Manuel - Los Arrayanes,0,7567,43
166,310000000,75,4.0,3,Si,4, Usaquén,Acacias Usaquén,0,5376,29
167,315000000,163,3.0,3,Si,4, Usaquén,Los Caobos,0,5376,29
168,780000000,151,3.0,3,,4, Usaquén,Cedritos,0,5376,29
169,850000000,154,3.0,2,,6, Chapinero,Chicó Norte III Sector,0,5578,6
170,950000000,165,2.0,3,,6, Chapinero,El Refugio,0,5578,6
171,620000000,103,2.0,3,,5, Usaquén,Santa Bárbara Occidental,0,5376,29
172,450000000,111,3.0,3,,5, Usaquén,Rincón Del Chicó,3158574462,5376,29
173,423500000,99,3.0,3,,4, Usaquén,El Contador,0,5376,29
174,1600000000,144,3.0,4,,6, Chapinero,El Nogal,0,5578,6
175,475000000,122,4.0,3,,4, Usaquén,Las Margaritas,0,5376,29
177,850000000,166,3.0,2,,6, Usaquén,San Patricio,0,5376,29
178,240000000,70,3.0,2,Si,4, Usaquén,El Pite,3007798376,5376,29
179,185000000,36,4.0,2,No,3, Suba,Guadalcazar De Sotileza,0,7567,43
180,820000000,203,4.0,4,Si,5, Suba,Colpatria Santa Helena II Sector,0,7567,43
181,320000000,57,2.0,1,Si,6, Usaquén,Santa Bárbara Occidental,0,5376,29
182,160000000,53,2.0,1,Si,3, Usaquén,Las Orquídeas,0,5376,29
183,380000000,113,3.0,3,,4, Usaquén,Belmira,0,5376,29
184,490000000,70,2.0,2,,4, Usaquén,Cedro Narváez,0,5376,29
185,400000000,81,2.0,2,,6, Usaquén,Santa Bárbara Norte,16242469,5376,29
186,3345000000,210,2.0,4,,6, Chapinero,Bosque El Retiro I Sector,3165372866,5578,6
187,400000000,98,1.0,1,,6, Chapinero,El Chicó,0,5578,6
188,970000000,192,3.0,4,,6, Usaquén,Santa Bárbara Central II,0,5376,29
189,860000000,167,3.0,3,,6, Usaquén,San Patricio,0,5376,29
190,310000000,78,2.0,2,,4, Usaquén,La Emilia,16242469,5376,29
191,720000000,125,3.0,2,,6, Usaquén,Santa Bárbara Central II,0,5376,29
192,250000000,61,3.0,2,Si,4, Suba,La Victoria Norte,0,7567,43
193,1500000000,234,4.0,3,,5, Chapinero,Espartillal,0,5578,6
194,348700350,25,1.0,1,,5, Chapinero,Antiguo Country,0,5578,6
195,850000000,283,3.0,4,,5, Suba,Las Palmeras,3108047940,7567,43
196,2300000000,337,4.0,5,,6, Usaquén,Santa Bibiana,0,5376,29
197,340000000,66,1.0,2,Si,6, Usaquén,Santa Bárbara Central I Sector,0,5376,29
198,450000000,300,10.0,5,No,3, Usaquén,San Juan Bosco,3125904484,5376,29
199,625000000,102,4.0,2,Si,4, Suba,Andes Norte - Urbanización Av. Suba II Etapa,0,7567,43
200,410000000,89,3.0,2,,4, Usaquén,Acacias Usaquén,316296099,5376,29
201,1200000000,166,3.0,3,,6, Chapinero,Chicó Norte,0,5578,6
202,420650600,69,3.0,2,,4, Suba,Prado Veraniego Norte,0,7567,43
203,439400000,32,1.0,1,,6, Usaquén,Santa Ana Occidental,0,5376,29
204,180000000,50,2.0,1,,5, Barrios Unidos,San Felipe,0,2975,10
205,420000000,75,2.0,2,,5, Suba,Bernal Y Forero,0,7567,43
206,120000000,59,3.0,2,No,3, Usaquén,Escuela De Caballería,0,5376,29
207,460000000,85,4.0,3,Si,5, Suba,Prado Veraniego Norte - La Hacienda,0,7567,43
208,850000000,235,4.0,4,Si,5, Suba,Atenas El Velero,0,7567,43
209,580000000,83,3.0,3,,5, Suba,Malibu,3142007942,7567,43
210,483400000,83,2.0,2,,3, Suba,San José Del Prado - Fuerteventura,0,7567,43
211,320000000,88,3.0,2,Si,4, Suba,Mazuren,0,7567,43
212,270000000,70,3.0,2,Si,4, Usaquén,El Redil,0,5376,29
213,459000000,63,1.0,2,,4, Usaquén,Caobos Salazar,0,5376,29
214,810000000,162,3.0,3,,5, Usaquén,Santa Bárbara Occidental,0,5376,29
215,520000000,117,3.0,3,,5, Usaquén,Rincón Del Chicó,0,5376,29
216,1460000000,234,4.0,2,,6, Usaquén,Santa Ana Occidental,0,5376,29
217,240000000,38,1.0,1,,5, Usaquén,Santa Bárbara Occidental,3168747959,5376,29
218,1700000000,363,3.0,5,,6, Suba,Niza Suba,0,7567,43
219,3900000000,434,3.0,3,,6, Usaquén,Centro Norte Usaquén,3168747959,5376,29
220,860000000,153,3.0,4,,5, Suba,El Estoril,0,7567,43
221,729000000,108,2.0,3,,6, Usaquén,San Patricio,0,5376,29
222,390000000,80,3.0,2,,5, Usaquén,Cedritos,0,5376,29
223,270000000,50,2.0,2,Si,4, Usaquén,Cedro Golf Club,0,5376,29
224,585000000,123,3.0,4,Si,5, Suba,Malibu,0,7567,43
225,1100000000,193,3.0,4,,4, Suba,Andes Norte - Urbanización La Rabida,3165279629,7567,43
226,650000000,90,3.0,2,Si,5, Chapinero,Bosque El Retiro I Sector,0,5578,6
227,445000000,134,4.0,2,Si,4, Usaquén,Los Caobos,0,5376,29
228,585000000,88,3.0,2,Si,4, Suba,Casablanca Sector El Plan,0,7567,43
229,50000000,60,2.0,1,Si,2, Usaquén,San Luís,0,5376,29
230,253000000,68,3.0,2,Si,4, Suba,Urbanización El Moral II,0,7567,43
231,240000000,51,2.0,1,Si,4, Usaquén,Cedro Golf Club,0,5376,29
232,165000000,52,3.0,1,,3, Suba,Guadalcazar De Sotileza,3234724151,7567,43
233,35000000,120,3.0,2,Si,4, Usaquén,Cedro Bolívar II Sector,0,5376,29
234,1100000000,386,10.0,6,,3, Suba,Prado Veraniego Sur,0,7567,43
235,35000000,60,2.0,2,Si,6, Usaquén,Urbanización Las Orquídeas,3059350679,5376,29
236,347000000,77,2.0,2,Si,4, Suba,La Victoria Norte,0,7567,43
237,205000000,53,3.0,2,Si,3, Usaquén,Urbanización Las Orquídeas,0,5376,29
238,1550000000,224,3.0,3,,6, Chapinero,Chicó Reservado,0,5578,6
239,280000000,64,3.0,2,Si,4, Suba,Colpatria Santa Helena,0,7567,43
240,260000000,71,3.0,2,,3, Usaquén,El Jardín,0,5376,29
241,1790000000,174,3.0,3,,6, Usaquén,Santa Ana Oriental,0,5376,29
242,240000000,50,1.0,1,,5, Suba,Urbanización Alhambra Sur Oriental,0,7567,43
243,600000000,117,2.0,3,,6, Suba,Niza Suba - El Balcón De Lindaraja,0,7567,43
244,400000000,110,4.0,3,Si,3, Suba,Niza Norte - Ocales De Niza,0,7567,43
245,460000000,1000,3.0,2,Si,4, Usaquén,Acacias Usaquén,0,5376,29
246,148000000,38,2.0,1,No,2, Usaquén,La Granja Oriental,0,5376,29
247,440000000,82,3.0,2,Si,4, Suba,Potosí Sector I,0,7567,43
248,775000000,150,3.0,4,,6, Chapinero,Chicó Norte III Sector,0,5578,6
249,490000000,80,3.0,2,Si,5, Usaquén,Cedro Madeira,0,5376,29
250,1400000000,102,7.0,2,No,4, Usaquén,Usaquén,0,5376,29
251,780000000,109,3.0,3,,4, Usaquén,Cedritos,3144702211,5376,29
252,410000000,105,4.0,4,,4, Usaquén,Los Cedros Oriental,3154505094,5376,29
253,900000000,137,3.0,3,,6, Chapinero,Chicó Reservado,0,5578,6
254,1600000000,153,3.0,4,,6, Chapinero,El Chicó,0,5578,6
255,5080000000,630,4.0,4,,6, Suba,Cerros De Niza,0,7567,43
256,280000000,40,1.0,2,,5, Suba,El Estoril,15800461,7567,43
257,436000000,63,2.0,2,,6, Usaquén,Sabanalarga,3004296595,5376,29
258,452000000,87,3.0,2,,4, Usaquén,Cedro Bolívar II Sector,0,5376,29
259,480000000,87,2.0,2,,4, Usaquén,Los Cedros,0,5376,29
260,1980000000,203,3.0,4,,6, Chapinero,La Cabrera,3158574462,5578,6
261,1500000000,381,1.0,0,,4, Usaquén,Los Cedros,316296099,5376,29
262,575000000,114,3.0,3,,6, Usaquén,Santa Bárbara Central IV Sector,3004296595,5376,29
263,456000000,87,3.0,2,,4, Usaquén,Cedro Bolívar II Sector,0,5376,29
264,750000000,145,3.0,3,,6, Usaquén,Sabanalarga,0,5376,29
265,415000000,57,1.0,2,,6, Usaquén,Plenitud La Calleja,0,5376,29
266,2600000000,315,3.0,4,,6, Usaquén,Centro Norte Usaquén,0,5376,29
267,730000000,120,3.0,3,,4, Usaquén,Cedro Narváez,0,5376,29
268,515000000,115,2.0,3,,5, Usaquén,Lisboa,0,5376,29
270,575000000,85,1.0,1,,6, Chapinero,La Cabrera,0,5578,6
271,540769000,90,3.0,2,,5, Suba,Urbanización Carimagua I,0,7567,43
272,950000000,131,3.0,4,,6, Chapinero,El Chicó,0,5578,6
273,425000000,88,3.0,2,Si,4, Suba,Atenas El Velero,0,7567,43
274,670000000,200,10.0,5,,3, Suba,Urbanización El Paseo De La Colina,0,7567,43
275,550000000,60,2.0,1,Si,6, Barrios Unidos,Polo Club,3163780281,2975,10
276,195000000,58,2.0,3,Si,2, Usaquén,Danubio Occidental,0,5376,29
277,5500000000,606,4.0,4,,6, Usaquén,Cerros De Santa Bárbara,0,5376,29
278,607000000,38,1.0,1,,5, Chapinero,Antiguo Country,0,5578,6
279,900000000,190,3.0,4,,5, Usaquén,Urbanización Furatena,0,5376,29
280,420000000,87,3.0,2,,4, Usaquén,Los Caobos,0,5376,29
281,550000000,66,1.0,2,,6, Chapinero,Chicó Reservado,3158574462,5578,6
282,115000000,72,2.0,1,,1, Engativá,La Granja,0,8151,32
283,168000000,51,2.0,2,No,3, Suba,Lombardia II,0,7567,43
284,315000000,130,5.0,3,Si,3, Engativá,Bachue I Y II,573178949898,8151,32
285,350000000,120,5.0,3,Si,3, Engativá,El Cortijo,3124620989,8151,32
286,168000000,57,3.0,2,No,2, Suba,Urbanización Oviedo,0,7567,43
287,145000000,42,2.0,1,Si,3, Suba,Salitre III Sector,0,7567,43
288,750000000,225,9.0,4,Si,3, Engativá,París Gaitán,0,8151,32
289,175000000,53,3.0,1,No,3, Engativá,Bochica IV Etapa,0,8151,32
290,135000000,62,3.0,1,,3, Suba,Canódromo,0,7567,43
291,860000000,435,3.0,3,,3, Suba,Arluz La Manuelita,68808383,7567,43
292,3200000000,461,4.0,5,,6, Suba,Bellomonte Suba,3142007942,7567,43
293,165000000,50,3.0,1,No,3, Engativá,Bochica I Y II Sector,3212773668,8151,32
294,130000000,46,2.0,1,,2, Suba,Urbanización Las Flores,3219940367,7567,43
295,220000000,120,5.0,2,,3, Suba,San Pedro III,0,7567,43
296,360000000,200,4.0,3,,2, Suba,La Campiña II Sector,0,7567,43
297,225000000,90,3.0,2,,3, Suba,El Poa,0,7567,43
298,245000000,66,4.0,2,No,3, Suba,Urbanización Las Flores,0,7567,43
299,290000000,230,8.0,4,,3, Suba,Orquídeas II Sector,3124731372,7567,43
300,123000000,40,3.0,1,,2, Suba,Rincón De Santa Inés Compartir Suba,0,7567,43
301,220000000,76,3.0,2,,3, Suba,Calabria,0,7567,43
302,650000000,270,,4,,3, Suba,El Poa,0,7567,43
303,160000000,60,3.0,2,,3, Suba,Las Delicias La María,0,7567,43
304,230000000,63,3.0,2,Si,4, Suba,La Campiña II Sector,0,7567,43
305,130000000,60,2.0,2,,2, Suba,Lisboa,0,7567,43
306,200000000,160,4.0,3,,2, Suba,Guadalcazar De Sotileza,3124731372,7567,43
307,131000000,53,3.0,1,Si,2, Suba,Nueva Tibabuyes - La Esmeralda,0,7567,43
308,205000000,38,2.0,1,,3, Suba,Urbanización Zabana,0,7567,43
309,132000000,51,3.0,1,Si,2, Suba,Nueva Tibabuyes - La Esmeralda,0,7567,43
310,265000000,68,3.0,2,Si,3, Engativá,Los Cerezos,0,8151,32
311,550000000,132,8.0,5,,3, Suba,Niza Norte - Ocales De Niza,0,7567,43
312,200000000,42,2.0,1,,3, Suba,Niza Norte - Ocales De Niza,0,7567,43
313,260000000,63,3.0,2,,3, Usaquén,Rincón Del Cedro,0,5376,29
314,300000000,33,3.0,2,,3, Suba,Gilmar II,0,7567,43
315,350000000,90,3.0,2,,3, Suba,Niza Norte - Ocales De Niza,0,7567,43
316,350000000,60,4.0,2,,3, Engativá,Bochica II,0,8151,32
317,330000000,75,3.0,2,No,4, Suba,Urbanización Monterrey,0,7567,43
318,120000000,49,3.0,1,No,2, Suba,Lago De Suba,0,7567,43
319,140000000,30,1.0,1,No,3, Suba,San Roque,3118788156,7567,43
320,259000000,63,3.0,2,Si,4, Suba,Sevilla Portales Del Norte,0,7567,43
321,1250000000,270,3.0,4,,5, Suba,Subata,0,7567,43
322,190000000,47,2.0,1,,3, Suba,Sauces De Suba,0,7567,43
323,1056062972,248,4.0,7,,4, Suba,Niza Sur,0,7567,43
324,2300000000,394,4.0,6,,2, Suba,San Francisco Parte Alta II,0,7567,43
325,1138615799,336,5.0,5,,5, Suba,Niza Sur,0,7567,43
326,650000000,112,3.0,2,,4, Usaquén,El Contador,0,5376,29
327,180000000,51,3.0,2,,3, Suba,Serranías De Suba,0,7567,43
328,510000000,393,10.0,7,,3, Engativá,Villas De Granada,0,8151,32
329,290000000,75,3.0,2,,4, Usaquén,Estrella Del Norte,0,5376,29
330,320000000,76,3.0,3,,4, Suba,Nueva Britalia,0,7567,43
331,430000000,118,6.0,4,,3, Suba,Los Comuneros Puerta Del Sol,13203509888,7567,43
332,610000000,167,3.0,4,,5, Suba,Las Palmeras,0,7567,43
333,420000000,59,1.0,2,,4, Usaquén,Los Cedros,0,5376,29
334,180000000,47,2.0,1,Si,3, Suba,Mirador De La Campiña II Sector,3502727304,7567,43
335,1350000000,168,3.0,4,,6, Suba,San Roque,0,7567,43
336,220000000,56,3.0,2,,4, Suba,Urbanización Plaza Baviera,0,7567,43
337,860000000,203,4.0,4,,5, Suba,Las Villas Sector III,0,7567,43
338,460000000,90,2.0,2,,4, Suba,Canódromo,0,7567,43
339,360000000,81,5.0,3,,3, Suba,Gilmar,0,7567,43
340,450000000,106,3.0,3,,5, Usaquén,Los Caobos,13208390524,5376,29
341,480000000,97,3.0,2,,5, Suba,Canódromo - Urbanización Atabanza,0,7567,43
342,270000000,63,2.0,1,,4, Suba,Niza Norte - Ocales De Niza,0,7567,43
343,175000000,52,3.0,2,No,3, Engativá,Villas De Alcalá - Los Cerezos,0,8151,32
